County,Year,Sales,Population,Sales per capita
Adams,2014,2749908.0,479777,5.731637823405457
Adams,2015,19462440.0,489923,39.7255078859331
Adams,2016,44868387.0,497673,90.15636170738618
Adams,2017,62132216.0,509473.337156029,121.95381282724844
Arapahoe,2014,2221928.0,617936,3.5957251236373993
Arapahoe,2015,49342266.0,629066,78.43734361736288
Arapahoe,2016,95552527.0,637254,149.94417767483608
Arapahoe,2017,111836427.0,646724.941049927,172.92734499838355
Archuleta,2017,6397396.0,13152.2655436009,486.4101913690898
Boulder,2014,28598156.0,313190,91.31248124141895
Boulder,2015,51439943.0,318570,161.4713971811533
Boulder,2016,66407479.0,321989,206.24145234775102
Boulder,2017,77438466.0,325606.872419941,237.82810671184552
Chaffee,2015,2067869.0,18603,111.15782400688062
Chaffee,2016,3492699.0,19097,182.89254856783788
Chaffee,2017,5422335.0,19391.2123457374,279.6284679535235
Clear Creek,2014,4853720.0,9210,527.0054288816503
Clear Creek,2015,5403849.0,9392,575.367227427598
Clear Creek,2016,6464191.0,9443,684.5484485862544
Clear Creek,2017,6692065.0,9455.70458024601,707.7277999970988
Conejos,2016,3522183.0,8039,438.1369573330016
Conejos,2017,5426288.0,8056.22689193073,673.5520328300428
Costilla,2016,2836421.0,3707,765.1526841111411
Costilla,2017,3874954.0,3737.68068930767,1036.726869442065
Denver,2014,151349554.0,662855,228.32980666963363
Denver,2015,216596860.0,680658,318.2168724969074
Denver,2016,290750789.0,693292,419.3771008463966
Denver,2017,374673239.0,703462.16070098,532.6132092544236
Eagle,2014,2234618.0,52761,42.353594511097214
Eagle,2015,8187585.0,53320,153.55560765191296
Eagle,2016,12353951.0,53928,229.082313454977
Eagle,2017,13851679.0,54841.8910996237,252.57478767166444
Garfield,2014,3851563.0,57260,67.26446035626965
Garfield,2015,9099897.0,57779,157.49488568511052
Garfield,2016,16000942.0,58984,271.27597314525974
Garfield,2017,21863129.0,60271.5270430257,362.7439036743285
Gilpin,2014,1376578.0,5769,238.6163979892529
Gilpin,2015,1890289.0,5824,324.56885302197804
Gilpin,2016,2654538.0,5926,447.94768815389807
Gilpin,2017,2553596.0,5962.30671666961,428.28994235747274
Grand,2015,1380291.0,14602,94.52753047527736
Grand,2016,3292625.0,15039,218.93909169492653
Grand,2017,3957091.0,15370.7080275697,257.44363843892916
Gunnison,2014,1418437.0,15767,89.96238980148411
Gunnison,2015,3262218.0,16097,202.65999875753246
Gunnison,2016,5421591.0,16394,330.7058070025619
Gunnison,2017,6880647.0,16609.3561534509,414.26331860373887
Jefferson,2014,17685199.0,558610,31.659295393924204
Jefferson,2015,31666363.0,564619,56.08447997676309
Jefferson,2016,46058623.0,571711,80.56277209988963
Jefferson,2017,51783620.0,578626.98619088,89.49395938287157
La Plata,2014,1486441.0,53978,27.537904331394273
La Plata,2015,14867258.0,54857,271.0184297354941
La Plata,2016,22269388.0,55697,399.8310142377507
La Plata,2017,24145064.0,57004.0980447239,423.5671614531367
Lake,2016,1559663.0,7595,205.35391705069125
Lake,2017,2521582.0,7624.86579910563,330.7050991370593
Larimer,2014,8433803.0,324105,26.021823174588484
Larimer,2015,28652122.0,332830,86.08635639816123
Larimer,2016,44288501.0,338663,130.77454874019304
Larimer,2017,58391921.0,345034.980860027,169.23478557001238
Las Animas,2015,8598642.0,14061,611.5242159163644
Las Animas,2016,21456457.0,14082,1523.6796619798324
Las Animas,2017,43913648.0,14083.1216269246,3118.1757257598606
Mesa,2017,3965601.0,152002.962959561,26.088971706788453
Montezuma,2015,5090271.0,26129,194.8130812507176
Montezuma,2016,12108651.0,26906,450.0353452761466
Montezuma,2017,20163593.0,27445.1798814535,734.6861302091831
Morgan,2016,4138315.0,28148,147.01985931504902
Morgan,2017,7918703.0,28435.356041826,278.48088092697907
Ouray,2015,342064.0,4647,73.60964062836238
Ouray,2016,2877027.0,4844,593.9362097440132
Ouray,2017,3916922.0,4912.85660613429,797.279935894985
Park,2015,1815652.0,16716,108.61761186886815
Park,2016,3331577.0,17285,192.74382412496385
Park,2017,4250202.0,17608.3620720407,241.37406890040327
Pitkin,2014,3120951.0,17623,177.09532996652104
Pitkin,2015,7723852.0,17845,432.8300364247688
Pitkin,2016,9593269.0,17773,539.7664434816857
Pitkin,2017,11588192.0,18005.8118392542,643.5806451524033
Pueblo,2014,14739254.0,161618,91.19809674664951
Pueblo,2015,17932786.0,163196,109.88496041569647
Pueblo,2016,28801714.0,165109,174.44060590276726
Pueblo,2017,40088773.0,167022.450447663,240.02026609328152
Routt,2014,493734.0,24010,20.56368179925031
Routt,2015,5470090.0,24310,225.01398601398603
Routt,2016,8693203.0,24679,352.2510231370801
Routt,2017,10283160.0,25135.970783283,409.1013666692733
Saguache,2017,464254.0,6457.89919587771,71.88932281512673
San Miguel,2014,4169063.0,7751,537.8742097793832
San Miguel,2015,3346696.0,7843,426.7112074461303
San Miguel,2016,3351875.0,8000,418.984375
San Miguel,2017,4337975.0,8266.4456871235,524.7690681325336
Summit,2014,10999006.0,29213,376.510663060966
Summit,2015,14799676.0,29928,494.50935578722266
Summit,2016,20115627.0,30367,662.4173280205487
Summit,2017,22904938.0,30959.3403041334,739.8393433125559
Weld,2014,8861735.0,275845,32.12577715746162
Weld,2015,19857737.0,284571,69.78130940960253
Weld,2016,26625504.0,294397,90.44081291589248
Weld,2017,30987020.0,304803.027929179,101.6624415135398
